,0
0,"
"
1,가난
2,"
"
3,가난뱅이
4,"
"
5,가난
6,살이
7,"
"
8,가난
9,살이
10,하
11,다
12,"
"
13,가난
14,설음
15,"
"
16,가난
17,에
18,"
"
19,가난
20,에
21,쪼들려서
22,"
"
23,가난하게
24,"
"
25,가난하고
26,"
"
27,가난하고
28,어렵다
29,"
"
30,가난하고
31,천한
32,"
"
33,가난하다
34,"
"
35,가난하여
36,"
"
37,가난한
38,"
"
39,가난한
40,데
41,다가
42,"
"
43,가난한
44,사람
45,을
46,"
"
47,가난히
48,"
"
49,가년
50,스럽다
51,"
"
52,가녕
53,스럽다
54,"
"
55,가누지
56,못
57,하고
58,"
"
59,가누지
60,못
61,하다
62,"
"
63,가누지
64,못
65,할
66,"
"
67,가누지
68,못
69,할
70,정도
71,로
72,"
"
73,가누지
74,못
75,함
76,"
"
77,가눌
78,수
79,없게
80,"
"
81,가눌
82,수
83,없을
84,"
"
85,가눌
86,수
87,없이
88,"
"
89,가당찮다
90,"
"
91,가당찮이
92,"
"
93,가두거나
94,해치거나
95,"
"
96,가망
97,이
98,없게
99,"
"
100,가슴
101,아파하다
102,"
"
103,가슴
104,아파
105,함
106,"
"
107,가슴
108,아프게
109,"
"
110,가슴
111,아프고
112,"
"
113,가슴
114,아프다
115,"
"
116,가슴속
117,에
118,근심
119,이나
120,"
"
121,가슴앓이
122,"
"
123,가슴앓이
124,하다
125,"
"
126,가슴
127,이
128,갑갑할
129,"
"
130,가슴
131,이
132,괴롭거나
133,"
"
134,가슴
135,이
136,그득한
137,"
"
138,가슴
139,이
140,답답하고
141,"
"
142,가슴
143,이
144,답답하다
145,"
"
146,가슴
147,이
148,답답하며
149,"
"
150,가슴
151,이
152,아프다
153,"
"
154,가슴
155,이
156,아픈
157,"
"
158,가슴
159,이
160,울렁거리는
161,"
"
162,가슴
163,이
164,울렁거리다
165,"
"
166,가슴
167,이
168,찢어질
169,"
"
170,가엾고
171,불쌍하다
172,"
"
173,가엾고
174,불쌍하여
175,"
"
176,가엾고
177,불쌍한
178,"
"
179,가엾고
180,불쌍함
181,"
"
182,가엾고
183,애처롭다
184,"
"
185,가음
186,아프고
187,"
"
188,가짜
189,"
"
190,가치
191,없는
192,"
"
193,가치
194,가
195,없다
196,"
"
197,가치
198,가
199,없을
200,"
"
201,가치
202,가
203,없이
204,"
"
205,가치
206,없는
207,"
"
208,가혹하게
209,"
"
210,가혹하게
211,착취
212,하여
213,"
"
214,간
215,장애
216,"
"
217,간사한
218,짓
219,을
220,"
"
221,감금
222,하여
223,"
"
224,감정
225,의
226,불화
227,"
"
228,강간죄
229,"
"
230,강개무량
231,"
"
232,강개무량
233,하다
234,"
"
235,강제
236,로
237,누르다
238,"
"
239,강제
240,로
241,누름
242,"
"
243,강제
244,로
245,빼앗아
246,"
"
247,강제
248,적
249,으로
250,"
"
251,강탈
252,"
"
253,강탈
254,하다
255,"
"
256,강한
257,비판
258,이나
259,"
"
260,개
261,짓하다
262,"
"
263,거만
264,스럽게
265,"
"
266,거만
267,을
268,"
"
269,거만
270,을
271,떠는
272,"
"
273,거만
274,을
275,떨다
276,"
"
277,거만하게
278,"
"
279,거만하게
280,행동
281,하는
282,"
"
283,거만하게
284,행동
285,하다
286,"
"
287,거만하고
288,"
"
289,거만하다
290,"
"
291,거만한
292,태도
293,로
294,"
"
295,거부
296,감
297,"
"
298,거부
299,하
300,거나
301,"
"
302,거북
303,스럽게
304,"
"
305,거북
306,스럽게
307,저
308,는
309,"
"
310,거북
311,스럽게
312,절
313,다
314,"
"
315,거북하거나
316,"
"
317,거북하거나
318,괴로움
319,"
"
320,거북하거나
321,괴롭다
322,"
"
323,거북하거나
324,더럽고
325,"
"
326,거북하게
327,"
"
328,거북하고
329,"
"
330,거북하고
331,불편한
332,"
"
333,거북하고
334,주체
335,스럽게
336,"
"
337,거북하다
338,"
"
339,거북한
340,"
"
341,거북한
342,모양
343,"
"
344,거북한
345,상태
346,로
347,"
"
348,거북한
349,소리
350,가
351,"
"
352,거북할
353,"
"
